PassengerId,Survived,Class,Name,SibSp,Parch,Ticket,Fare,Cabin,Age,Hometown,Boarded,Destination,Gender
31,No,1,"Uruchurtu, Don. Manuel E",0,0,PC 17601,27.72,unknown,40,"Mexico City, Mexico",Cherbourg,"Mexico City, Mexico",M
32,Sí,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,0,PC 17569,146.52,B78,45,"New York, New York, US",Cherbourg,"New York, New York, US",F
33,Sí,3,"Glynn, Miss. Mary Agatha",0,0,335677,7.75,unknown,19,"Killaloe, Clare, Ireland",Queenstown,"Washington, DC, US",F
34,No,2,"Wheadon, Mr. Edward H",0,0,C.A. 24579,10.5,unknown,66,"Guernsey, Channel Islands",Southampton,"Edgewood, Rhode Island, US",M
35,No,1,"Meyer, Mr. Edgar Joseph",1,0,PC 17604,82.17,unknown,28,"New York, New York, US",Cherbourg,"New York, New York, US",M
36,No,1,"Holverson, Mr. Alexander Oskar",1,0,113789,52.0,unknown,42,"New York, New York, US",Southampton,"New York, New York, US",M
37,Sí,3,"Mamee, Mr. Hanna",0,0,2677,7.23,unknown,20,"Tripoli, Lebanon",Cherbourg,"Philadelphia, Pennsylvania, US",M
38,No,3,"Cann, Mr. Ernest Charles",0,0,A./5. 2152,8.05,unknown,21,"Penwithick, Cornwall, England",Southampton,"New York, New York, US",M
39,No,3,"Vander Planke, Miss. Augusta Maria",2,0,345764,18.0,unknown,18,"Zwevezele, Belgium",Southampton,"Fremont, Ohio, US",F
40,Sí,3,"Nicola-Yarred, Miss. Jamila",1,0,2651,11.24,unknown,14,"El-Hakour, Lebanon",Cherbourg,"Jacksonville, Florida, US",F
41,No,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0,7546,9.48,unknown,40,"Göteborg, Västergötland, Sweden",Southampton,"Akeley, Minnesota, US",F
42,No,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,0,11668,21.0,unknown,27,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US",F
43,No,3,"Kraeff, Mr. Theodor",0,0,349253,7.9,unknown,0,"Vetren, Bulgaria",Cherbourg,"Madison, Wisconsin, US",M
44,Sí,2,"Laroche, Miss. Simonne Marie Anne Andree",1,2,SC/Paris 2123,41.58,unknown,3,"Paris, France",Cherbourg,"Cap-Haïtien, Haiti",F
45,Sí,3,"Devaney, Miss. Margaret Delia",0,0,330958,7.88,unknown,19,"Kilmacowen, Sligo, Ireland",Queenstown,"New York, New York, US",F
46,No,3,"Rogers, Mr. William John",0,0,S.C./A.4. 23567,8.05,unknown,29,"Pontardawe, West Glamorgan, Wales",Southampton,"New York, New York, US",M
47,No,3,"Lennon, Mr. Denis",1,0,370371,15.5,unknown,20,"Ballymahon, Longford, Ireland",Queenstown,"New York, New York, US",M
48,Sí,3,"O'Driscoll, Miss. Bridget",0,0,14311,7.75,unknown,24,"Ballydehob, Cork, Ireland",Queenstown,"Jersey City, New Jersey, US",F
49,No,3,"Samaan, Mr. Youssef",2,0,2662,21.68,unknown,16,"Hardîne, Lebanon",Cherbourg,"Wilkes-Barre, Pennsylvania, US",M
50,No,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,0,349237,17.8,unknown,18,"Altdorf, Uri, Switzerland",Southampton,"New Glarus, Wisconsin, US",F
51,No,3,"Panula, Master. Juha Niilo",4,1,3101295,39.69,unknown,7,"Ylihärmä, South Ostrobothnia, Finland",Southampton,"Coal Center, Pennsylvania, US",M
52,No,3,"Nosworthy, Mr. Richard Cater",0,0,A/4. 39886,7.8,unknown,21,"Newton Abbot, Devon, England",Southampton,"Buffalo, New York, US",M
53,Sí,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,0,PC 17572,76.73,D33,49,"New York, New York, US",Cherbourg,"New York, New York, US",F
54,Sí,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,0,2926,26.0,unknown,29,"Manchester, England",Southampton,"Philadelphia, Pennsylvania, US",F
55,No,1,"Ostby, Mr. Engelhart Cornelius",0,1,113509,61.98,B30,64,"Providence, Rhode Island, US",Southampton,"Providence, Rhode Island, US",M
56,Sí,1,"Woolner, Mr. Hugh",0,0,19947,35.5,C52,45,"London, England, UK",Southampton,"New York, New York, US",M
57,Sí,2,"Rugg, Miss. Emily",0,0,C.A. 31026,10.5,unknown,21,"Guernsey, Channel Islands",Southampton,"Wilmington, Delaware, US",F
58,No,3,"Novel, Mr. Mansouer",0,0,2697,7.23,unknown,20,"Kafr Mishki, Lebanon",Cherbourg,"Ottawa, Ontario, Canada",M
59,Sí,2,"West, Miss. Constance Mirium",1,2,C.A. 34651,27.75,unknown,4,"Bournemouth, Dorset, England",Southampton,"Gainesville, Florida, US",F
60,No,3,"Goodwin, Master. William Frederick",5,2,CA 2144,46.9,unknown,13,"Fulham, England",Southampton,"Niagara Falls, New York, US",M
61,No,3,"Sirayanian, Mr. Orsen",0,0,2669,7.23,unknown,22,"Kiğı, Turkey",Cherbourg,"Brantford, Ontario, Canada",M
62,Sí,1,"Icard, Miss. Amelie",0,0,113572,80.0,B28,38,"New York, New York, US",Southampton,"New York, New York, US",F
63,No,1,"Harris, Mr. Henry Birkhardt",1,0,36973,83.48,C83,45,"New York, New York, US",Southampton,"New York, New York, US",M
64,No,3,"Skoog, Master. Harald",3,2,347088,27.9,unknown,5,"Hällekis, Västergötland, Sweden",Southampton,"Iron Mountain, Michigan, US",M
65,No,1,"Stewart, Mr. Albert A",0,0,PC 17605,27.72,unknown,54,"Cincinnati, Ohio, US",Cherbourg,"Gallipolis, Ohio, US",M
66,Sí,3,"Moubarek, Master. Gerios",1,1,2661,15.25,unknown,7,"Hardîne, Lebanon",Cherbourg,"Houtzdale, Pennsylvania, US",M
67,Sí,2,"Nye, Mrs. (Elizabeth Ramell)",0,0,C.A. 29395,10.5,F33,29,"East Orange, New Jersey, US",Southampton,"East Orange, New Jersey, US",F
68,No,3,"Crease, Mr. Ernest James",0,0,S.P. 3464,8.16,unknown,19,"Bristol, Avon, England",Southampton,"Cleveland, Ohio, US",M
69,Sí,3,"Andersson, Miss. Erna Alexandra",4,2,3101281,7.92,unknown,17,"Kullaa, Finland",Southampton,"New York, New York, US",F
70,No,3,"Kink, Mr. Vincenz",2,0,315151,8.66,unknown,26,"Zürich, Switzerland",Southampton,"Milwaukee, Wisconsin, US",M
71,No,2,"Jenkin, Mr. Stephen Curnow",0,0,C.A. 33111,10.5,unknown,32,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US",M
72,No,3,"Goodwin, Miss. Lillian Amy",5,2,CA 2144,46.9,unknown,16,"Fulham, England",Southampton,"Niagara Falls, New York, US",F
73,No,2,"Hood, Mr. Ambrose Jr",0,0,S.O.C. 14879,73.5,unknown,21,"Fritham, Hampshire, England",Southampton,"Manitoba, Canada",M
74,No,3,"Chronopoulos, Mr. Apostolos",1,0,2680,14.45,unknown,26,"Agios Sostis, Peloponnese, Greece",Cherbourg,"New York, New York, US",M
75,Sí,3,"Bing, Mr. Lee",0,0,1601,56.5,unknown,32,"Hong Kong, China",Southampton,"New York, New York, US",M
76,No,3,"Moen, Mr. Sigurd Hansen",0,0,348123,7.65,F G73,25,"Bergen, Norway",Southampton,"Minneapolis, Minnesota, US",M
77,No,3,"Staneff, Mr. Ivan",0,0,349208,7.9,unknown,23,"Debnevo, Troyan, Bulgaria",Southampton,"Chicago, Illinois, US",M
78,No,3,"Moutal, Mr. Rahamin Haim",0,0,374746,8.05,unknown,28,"London, England",Southampton,"New York, New York, US",M
79,Sí,2,"Caldwell, Master. Alden Gates",0,2,248738,29.0,unknown,0,"Bangkok, Siam",Southampton,"Roseville, Illinois, US",M
80,Sí,3,"Dowdell, Miss. Elizabeth",0,0,364516,12.48,unknown,31,"New York City, New York, US",Southampton,"New York, New York, US",F
81,No,3,"Waelens, Mr. Achille",0,0,345767,9.0,unknown,22,"Ruiselede, West Flanders, Belgium",Southampton,"Stanton, Ohio, US",M
82,Sí,3,"Sheerlinck, Mr. Jan Baptist",0,0,345779,9.5,unknown,29,"Haaltert, East Flanders, Belgium",Southampton,"Detroit, Michigan, US",M
83,Sí,3,"McDermott, Miss. Brigdet Delia",0,0,330932,7.79,unknown,31,"Lahardane, Mayo, Ireland",Queenstown,"Chicago, Illinois, US",F
84,No,1,"Carrau, Mr. Francisco M",0,0,113059,47.1,unknown,31,"Montevideo, Uruguay",Southampton,"Montevideo, Uruguay",M
85,Sí,2,"Ilett, Miss. Bertha",0,0,SO/C 14885,10.5,unknown,17,"Jersey, Channel Islands",Southampton,"Atlanta, Georgia, US",F
86,Sí,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",3,0,3101278,15.85,unknown,33,"Kotka, Finland",Southampton,"New York, New York, US",F
87,No,3,"Ford, Mr. William Neal",1,3,W./C. 6608,34.38,unknown,16,"Rotherfield, East Sussex, England",Southampton,"Essex County, New Jersey, US",M
88,No,3,"Slocovski, Mr. Selman Francis",0,0,SOTON/OQ 392086,8.05,unknown,20,"London, England",Southampton,"New York, New York, US",M
89,Sí,1,"Fortune, Miss. Mabel Helen",3,2,19950,263.0,C23 C25 C27,23,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",F
90,No,3,"Celotti, Mr. Francesco",0,0,343275,8.05,unknown,24,"Milan[83], Italy",Southampton,"New York, New York, US",M
91,No,3,"Christmann, Mr. Emil",0,0,343276,8.05,unknown,29,"London, England",Southampton,"New York, New York, US",M
92,No,3,"Andreasson, Mr. Paul Edvin",0,0,347466,7.85,unknown,20,"Kalfsnäs, Småland, Sweden",Southampton,"Chicago, Illinois, US",M
93,No,1,"Chaffee, Mr. Herbert Fuller",1,0,W.E.P. 5734,61.18,E31,46,"Amenia, North Dakota, US",Southampton,"Amenia, North Dakota, US",M
94,No,3,"Dean, Mr. Bertram Frank",1,2,C.A. 2315,20.58,unknown,25,"Bartley Farm, Hampshire, England",Southampton,"Wichita, Kansas, US",M
95,No,3,"Coxon, Mr. Daniel",0,0,364500,7.25,unknown,59,"London, England",Southampton,"Merrill, Wisconsin, US",M
96,No,3,"Shorney, Mr. Charles Joseph",0,0,374910,8.05,unknown,22,"Heron's Ghyll, East Sussex, England",Southampton,"New York, US",M
97,No,1,"Goldschmidt, Mr. George B",0,0,PC 17754,34.65,A5,71,"New York, New York, US",Cherbourg,"New York, New York, US",M
98,Sí,1,"Greenfield, Mr. William Bertram",0,1,PC 17759,63.36,D10 D12,23,"New York, New York, US",Cherbourg,"New York, New York, US",M
99,Sí,2,"Doling, Mrs. John T (Ada Julia Bone)",0,1,231919,23.0,unknown,34,"Southampton, Hampshire, England, UK",Southampton,"New York, New York, US",F
100,No,2,"Kantor, Mr. Sinai",1,0,244367,26.0,unknown,34,"Vitebsk, Russian Empire",Southampton,"Bronx, New York, US",M
101,No,3,"Petranec, Miss. Matilda",0,0,349245,7.9,unknown,28,"Vagovina, Croatia",Southampton,"Harrisburg, Pennsylvania, US",F
102,No,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,0,349215,7.9,unknown,29,"Belish, Troyan, Bulgaria",Southampton,"Chicago, Illinois, US",M
103,No,1,"White, Mr. Richard Frasar",0,1,35281,77.29,D26,21,"Brunswick, Maine, US",Southampton,"Brunswick, Maine, US",M
104,No,3,"Johansson, Mr. Gustaf Joel",0,0,7540,8.65,unknown,33,"Bäckebo, Småland, Sweden",Southampton,"Cheyenne, North Dakota, US",M
105,No,3,"Gustafsson, Mr. Anders Vilhelm",2,0,3101276,7.92,unknown,37,"Ruotsinpyhtää, Finland",Southampton,"New York, New York, US",M
106,No,3,"Mionoff, Mr. Stoytcho",0,0,349207,7.9,unknown,28,"Gumostnik, Lovec, Bulgaria",Southampton,"Chicago, Illinois, US",M
107,Sí,3,"Salkjelsvik, Miss. Anna Kristine",0,0,343120,7.65,unknown,21,"Ålesund, Møre og Romsdal, Norway",Southampton,"Proctor, Minnesota, US",F
108,Sí,3,"Moss, Mr. Albert Johan",0,0,312991,7.78,unknown,29,"Bergen, Norway",Southampton,"New York, New York, US",M
109,No,3,"Rekic, Mr. Tido",0,0,349249,7.9,unknown,38,"Bosanska Krupa, Bosnia",Southampton,"Harrisburg, Pennsylvania, US",M
110,Sí,3,"Moran, Miss. Bertha",1,0,371110,24.15,unknown,28,"Askeaton, Limerick, Ireland",Queenstown,"Brooklyn, New York, US",F
111,No,1,"Porter, Mr. Walter Chamberlain",0,0,110465,52.0,C110,46,"Worcester, Massachusetts, US",Southampton,"Worcester, Massachusetts, US",M
112,No,3,"Zabour, Miss. Hileni",1,0,2665,14.45,unknown,16,"Unknown, Syria",Cherbourg,"New York, New York, US",F
113,No,3,"Barton, Mr. David John",0,0,324669,8.05,unknown,22,"Cambridge, Cambridgeshire, England",Southampton,"New York, New York, US",M
114,No,3,"Jussila, Miss. Katriina",1,0,4136,9.82,unknown,20,"Paavola, Northern Ostrobothnia, Finland",Southampton,"New York, New York, US",F
115,No,3,"Attalah, Miss. Malake",0,0,2627,14.46,unknown,17,"Beirut, Lebanon",Cherbourg,"New York, New York, US",F
116,No,3,"Pekoniemi, Mr. Edvard",0,0,STON/O 2. 3101294,7.92,unknown,21,"Heinola, Finland",Southampton,"New York, New York, US",M
117,No,3,"Connors, Mr. Patrick",0,0,370369,7.75,unknown,61,"Charleville, Cork, Ireland",Queenstown,"New York, New York, US",M
118,No,2,"Turpin, Mr. William John Robert",1,0,11668,21.0,unknown,29,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US",M
119,No,1,"Baxter, Mr. Quigg Edmond",0,1,PC 17558,247.52,B58 B60,24,"Montreal, Quebec, Canada",Cherbourg,"Montreal, Quebec, Canada",M
120,No,3,"Andersson, Miss. Ellis Anna Maria",4,2,347082,31.28,unknown,2,"Kisa, Östergötland, Sweden",Southampton,"Winnipeg, Manitoba, Canada",F
121,No,2,"Hickman, Mr. Stanley George",2,0,S.O.C. 14879,73.5,unknown,20,"Fritham, Hampshire, England",Southampton,"The Pas, Manitoba, Canada",M
122,No,3,"Moore, Mr. Leonard Charles",0,0,A4. 54510,8.05,unknown,19,"Kingston upon Thames, London, England",Southampton,"Hoboken, New Jersey, US",M
123,No,2,"Nasser, Mr. Nicholas",1,0,237736,30.07,unknown,28,"Zahlé, Lebanon, Ottoman Empire[note 7]",Cherbourg,"Cleveland, Ohio, US",M
124,Sí,2,"Webber, Miss. Susan",0,0,27267,13.0,E101,37,"Bude, Cornwall, England",Southampton,"Hartford, Connecticut, US",F
125,No,1,"White, Mr. Percival Wayland",0,1,35281,77.29,D26,54,"Brunswick, Maine, US",Southampton,"Brunswick, Maine, US",M
126,Sí,3,"Nicola-Yarred, Master. Elias",1,0,2651,11.24,unknown,12,"El-Hakour, Lebanon",Cherbourg,"Jacksonville, Florida, US",M
127,No,3,"McMahon, Mr. Martin",0,0,370372,7.75,unknown,20,"Craghbrien, Clare, Ireland",Queenstown,"New York, New York, US",M
128,Sí,3,"Madsen, Mr. Fridtjof Arne",0,0,C 17369,7.14,unknown,24,"Trondheim, Norway",Southampton,"Brooklyn, New York, US",M
129,Sí,3,"Peter, Miss. Anna",1,1,2668,22.36,F E69,2,"Sar'al, Syria[81]",Cherbourg,"Detroit, Michigan, US",F
130,No,3,"Ekstrom, Mr. Johan",0,0,347061,6.98,unknown,45,"Effington Rut, South Dakota, US",Southampton,"Effington Rut, South Dakota, US",M
131,No,3,"Drazenoic, Mr. Jozef",0,0,349241,7.9,unknown,33,"Hrastelnica, Croatia",Cherbourg,"New York, New York, US",M
132,No,3,"Coelho, Mr. Domingos Fernandeo",0,0,SOTON/O.Q. 3101307,7.05,unknown,20,"Funchal, Madeira Islands, Portugal",Southampton,"New York, New York, US",M
133,No,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,0,A/5. 3337,14.5,unknown,47,"St Austell, Cornwall, England",Southampton,"Yonkers, New York, US",F
134,Sí,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,0,228414,26.0,unknown,37,"Bromsgrove, Worcestershire, England",Southampton,"Montreal, Quebec, Canada",F
135,No,2,"Sobey, Mr. Samuel James Hayden",0,0,C.A. 29178,13.0,unknown,25,"Porthallow, Cornwall, England",Southampton,"Houghton, Michigan, US",M
136,No,2,"Richard, Mr. Emile",0,0,SC/PARIS 2133,15.05,unknown,23,"Paris, France",Cherbourg,"Montreal, Quebec, Canada",M
137,Sí,1,"Newsom, Miss. Helen Monypeny",0,2,11752,26.28,D47,19,"New York, New York, US",Southampton,"New York, New York, US",F
138,No,1,"Futrelle, Mr. Jacques Heath",1,0,113803,53.1,C123,37,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US",M
139,No,3,"Osen, Mr. Olaf Elon",0,0,7534,9.22,unknown,16,"Hedesunda, Gävleborg, Sweden",Southampton,"Mitchell, South Dakota, US",M
140,No,1,"Giglio, Mr. Victor",0,0,PC 17593,79.2,B86,24,"Paris, France",Cherbourg,"New York, New York, US",M
141,No,3,"Boulos, Mrs. Joseph (Sultana)",0,2,2678,15.25,unknown,40,"Unknown, Lebanon",Cherbourg,"Kent, British Columbia, Canada",F
142,Sí,3,"Nysten, Miss. Anna Sofia",0,0,347081,7.75,unknown,22,"Kisa, Östergötland, Sweden",Southampton,"Hackensack, New Jersey, US",F
143,Sí,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,0,STON/O2. 3101279,15.85,unknown,24,"Helsinki, Finland",Southampton,"Monessen, Pennsylvania, US",F
144,No,3,"Burke, Mr. Jeremiah",0,0,365222,6.75,unknown,19,"Glanmire, Cork, Ireland",Queenstown,"Charlestown, US",M
145,No,2,"Andrew, Mr. Edgardo Samuel",0,0,231945,11.5,unknown,17,"San Ambrosio, Córdoba, Argentina",Southampton,"Trenton, New Jersey, US",M
146,No,2,"Nicholls, Mr. Joseph Charles",1,1,C.A. 33112,36.75,unknown,19,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US",M
147,Sí,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,0,350043,7.8,unknown,27,"Malmö, Skåne, Sweden",Southampton,"Chicago, Illinois, US",M
148,No,3,"Ford, Miss. Robina Maggie ""Ruby""",2,2,W./C. 6608,34.38,unknown,7,"Rotherfield, East Sussex, England",Southampton,"Essex County, New Jersey, US",F
149,No,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,2,230080,26.0,F2,32,"Nice, France",Southampton,"New York, New York, US",M
150,No,2,"Byles, Rev. Thomas Roussel Davids",0,0,244310,13.0,unknown,42,"London, England",Southampton,"Jacksonville, Florida, US",M
151,No,2,"Bateman, Rev. Robert James",0,0,S.O.P. 1166,12.52,unknown,51,"Jacksonville, Florida, US",Southampton,"Jacksonville, Florida, US",M
152,Sí,1,"Pears, Mrs. Thomas (Edith Wearne)",1,0,113776,66.6,C2,22,"Isleworth, London, England, UK",Southampton,"New York, New York, US",F
153,No,3,"Meo, Mr. Alfonzo",0,0,A.5. 11206,8.05,unknown,48,"Bournemouth, Dorset, England",Southampton,"Washington, DC, US",M
154,No,3,"van Billiard, Mr. Austin Blyler",0,2,A/5. 851,14.5,unknown,35,"London, England",Southampton,"North Wales, Pennsylvania, US",M
155,No,3,"Olsen, Mr. Ole Martin",0,0,Fa 265302,7.31,unknown,27,"Sunnhordland, Norway",Southampton,"Broderick, Canada",M
156,No,1,"Williams, Mr. Charles Duane",0,1,PC 17597,61.38,unknown,51,"Geneva, Switzerland",Cherbourg,"Radnor, Pennsylvania, US",M
157,Sí,3,"Gilnagh, Miss. Katherine ""Katie""",0,0,35851,7.73,unknown,17,"Esker, Longford, Ireland",Queenstown,"New York, New York, US",F
158,No,3,"Corn, Mr. Harry",0,0,SOTON/OQ 392090,8.05,unknown,30,"London, England",Southampton,"New York, New York, US",M
159,No,3,"Smiljanic, Mr. Mile",0,0,315037,8.66,unknown,37,"Pisac, Croatia",Southampton,"New York, New York, US",M
160,No,3,"Sage, Master. Thomas Henry",8,2,CA. 2343,69.55,unknown,4,"Peterborough, Cambridgeshire, England",Southampton,"Jacksonville, Florida, US",M
161,No,3,"Cribb, Mr. John Hatfield",0,1,371362,16.1,unknown,44,"Bournemouth, Dorset, England",Southampton,"Newark, New Jersey, US",M
162,Sí,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",0,0,C.A. 33595,15.75,unknown,40,"Aberdeen, Aberdeenshire, Scotland",Southampton,"Portland, Oregon, US",F
163,No,3,"Bengtsson, Mr. John Viktor",0,0,347068,7.78,unknown,26,"Fridhemsberg, Halland, Sweden",Southampton,"Monee, Illinois, US",M
164,No,3,"Calic, Mr. Jovo",0,0,315093,8.66,unknown,17,"Brezik, Croatia",Southampton,"Sault Ste. Marie, Michigan, US",M
165,No,3,"Panula, Master. Eino Viljami",4,1,3101295,39.69,unknown,1,"Ylihärmä, South Ostrobothnia, Finland",Southampton,"Coal Center, Pennsylvania, US",M
166,Sí,3,"Goldsmith, Master. Frank John William ""Frankie""",0,2,363291,20.52,unknown,9,"Strood, Kent, England",Southampton,"Detroit, Michigan, US",M
167,Sí,1,"Chibnall, Mrs. (Edith Martha Bowerman)",0,1,113505,55.0,E33,48,"St Leonards-on-Sea, East Sussex, England, UK",Southampton,"New York, New York, US",F
168,No,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,4,347088,27.9,unknown,43,"Hällekis, Västergötland, Sweden",Southampton,"Iron Mountain, Michigan, US",F
169,No,1,"Baumann, Mr. John D",0,0,PC 17318,25.92,unknown,60,"New York, New York, US",Cherbourg,"New York, New York, US",M
170,No,3,"Ling, Mr. Lee",0,0,1601,56.5,unknown,24,"Hong Kong, China",Southampton,"New York, New York, US",M
171,No,1,"Van der hoef, Mr. Wyckoff",0,0,111240,33.5,B19,61,"Brooklyn, New York, US",Belfast,"Brooklyn, New York, US",M
172,No,3,"Rice, Master. Arthur",4,1,382652,29.12,unknown,4,"Athlone, Westmeath, Ireland",Queenstown,"Spokane, Washington, US",M
173,Sí,3,"Johnson, Miss. Eleanor Ileen",1,1,347742,11.13,unknown,1,"St. Charles, Illinois, US",Southampton,"St. Charles, Illinois, US",F
174,No,3,"Sivola, Mr. Antti Wilhelm",0,0,STON/O 2. 3101280,7.92,unknown,21,"Mountain Home, Idaho, US",Southampton,"Mountain Home, Idaho, US",M
175,No,1,"Smith, Mr. James Clinch",0,0,17764,30.7,A7,56,"Paris, France",Cherbourg,"Long Island, New York, US",M
176,No,3,"Klasen, Mr. Klas Albin",1,1,350404,7.85,unknown,18,"Grimshut, Småland, Sweden",Southampton,"New York, New York, US",M
177,No,3,"Lefebre, Master. Henry Forbes",3,1,4133,25.47,unknown,5,"Liévin, Pas-de-Calais, France",Southampton,"Mystic, Iowa, US",M
